dialog_act,utterance
inform,it doesnt matter to me
confirm,is it expensive
request,uh address and price range
affirm,yes
request,address
inform,im looking for a moderately priced restaurant in the east part of town
request,phone number
reqalts,how about asian oriental
inform,spanish
request,post code
inform,lets see im looking for a restaurant in the north part of town that serves vietnamese food
inform,gastropub
reqalts,anything else
request,and the post code
inform,i dont care
request,id like to know the address phone number and post code
request,um whats the price range
inform,south part of town
request,can i have the address
inform,i am looking for a moderately priced restaurant and it should
null,that serves
inform,thai
request,may i have the address
inform,east
inform,serves lebanese
inform,any
inform,im looking for a cheap restaurant in the south
inform,it doesnt matter
inform,i dont care
inform,italian food
inform,im looking for a restaurant serving european food
request,type of food do they serve
inform,moderately priced in south part
request,price range
inform,korean
inform,okay then any
inform,i need a cheap restaurant in the west part of town
affirm,yes
inform,it deosnt matter
request,what is the phone number
inform,expensive
request,what is the address and postcode
request,whats your phone number and post code
affirm,yes
inform,any price range
inform,portuguese
request,phone number
inform,im looking for a moderately priced restaurant in the south part of town
confirm,is it in the west part of town
null,sil
thankyou,thank you good bye
request,area
null,inaudible
inform,im looking for a world food restaurant in the east part of town
reqalts,are there any other restaurants
inform,portuguese
null,i know mia
inform,italian food
request,great whats the phone number
request,phone number
reqalts,how about cheap price range
inform,spanish food
thankyou,thank you goodbye
null,unintelligible
inform,lebanese
thankyou,thank you good bye
affirm,yes i would like to know the address
request,whats the price range
inform,im looking for thai food
request,can i have the address and phone number
inform,indian
null,unintelligible
thankyou,thank you good bye
inform,center
inform,im looking for a restaurant in the north part of town that serves korean food
request,phone number
reqalts,how about portuguese food
inform,korean food
inform,east
inform,moderately priced
request,phone number
reqalts,how about indian food
inform,unusual
request,telephone number
inform,can you find me a place that has thai food
inform,i would like malaysian food in the center part of
inform,that serves gastropub
request,and mail postal code
inform,im looking for a modreately
inform,cheap restaurant
request,what is the address
affirm,yes
request,can i have the address and phone number
request,may i get the address and phone number
request,phone number
null,unintelligible
thankyou,thank you good bye
request,whats the phone number
thankyou,thank you good bye
request,whats the phone number
inform,indian
request,whats the address
reqalts,is there anything else
negate,no
inform,south
inform,british food
inform,dont care
null,sil
negate,no
request,address
thankyou,thank you good bye
thankyou,thank you
thankyou,thank you good bye
request,what is the address
thankyou,thank you good bye
inform,i need a restaurant in any area with swedish food
request,whats their price range
inform,im looking for a moderately priced restaurant in the north part of town
inform,i do not care
reqalts,how about asian oriental type of food
inform,barbecue food
inform,food
inform,uh any area
thankyou,thank you goodbye
inform,doesnt matter
inform,moderate price
thankyou,thank you good bye
inform,cross over
thankyou,thank you good bye
inform,south
request,address
request,whats the address and phone number
